Scenario - test												
Logfile written - 11/09/2022 15:26:11												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
18	1	Sound	P0/none1	25112	24785	1			25000		other	0
18	1	Sound	f01	71822	71495	1			71500		other	0
18	1	Picture	2-111-1-2	130645	130317	7	5166	7	130000	5000	hit	4
18	1	Response	61	138750	138423	1						
18	2	Sound	P0/none	176128	24986	1			25000		other	0
18	2	Sound	test01	222641	71498	1			71500		other	0
18	2	Picture	2-211-1-2	281460	130317	7	5166	7	130000	5000	incorrect	8
18	2	Response	52	296910	145768	2						
18	3	Sound	P0/none	326950	24993	1			25000		other	0
18	3	Sound	test22	373456	71499	1			71500		other	0
18	3	Picture	3-211-1-3	432275	130317	7	5166	7	130000	5000	hit	12
18	3	Response	61	445710	143753	2						
18	4	Sound	P0/none	477767	24995	1			25000		other	0
18	4	Sound	f07	524271	71499	1			71500		other	0
18	4	Picture	2-121-1-2	583089	130317	7	5166	7	130000	5000	hit	16
18	4	Response	62	597070	144298	1						
18	5	Sound	P2/beat1	628583	24996	1			25000		other	0
18	5	Sound	f03	675086	71499	1			71500		other	0
18	5	Picture	2-123-1-2	733904	130317	7	5166	7	130000	5000	hit	20
18	5	Response	62	750110	146523	1						
18	6	Sound	P2/beat	779399	24997	1			25000		other	0
18	6	Sound	n12	825901	71499	1			71500		other	0
18	6	Picture	3-123-1-3	884719	130317	7	5166	7	130000	5000	incorrect	24
18	6	Response	51	897390	142988	1						
18	7	Sound	P2/beat	930214	24998	1			25000		other	0
18	7	Sound	test10	976716	71499	1			71500		other	0
18	7	Picture	2-213-1-2	1035534	130318	7	5166	7	130000	5000	incorrect	28
18	7	Response	52	1048030	142813	1						
18	8	Sound	P2/beat	1081030	24998	1			25000		other	0
18	8	Sound	f17	1127531	71499	1			71500		other	0
18	8	Picture	3-113-1-3	1186349	130318	7	5166	7	130000	5000	hit	32
18	8	Response	61	1196270	140238	2						
18	9	Sound	P0/none1	1231845	24998	1			25000		other	0
18	9	Sound	f09	1278347	71500	1			71500		other	0
18	9	Picture	2-111-1-2	1337164	130317	7	5166	7	130000	5000	incorrect	36
18	9	Response	52	1355309	148462	1						
18	10	Sound	P0/none	1382660	24998	1			25000		other	0
18	10	Sound	test02	1429161	71499	1			71500		other	0
18	10	Picture	2-221-1-2	1487979	130318	7	5166	7	130000	5000	incorrect	40
18	10	Response	51	1506029	148367	1						
18	11	Sound	P0/none	1533475	24998	1			25000		other	0
18	11	Sound	f20	1579977	71500	1			71500		other	0
18	11	Picture	3-121-1-3	1638794	130317	7	5166	7	130000	5000	miss	0
18	12	Response	52	1661309	2018	1						
18	12	Sound	P0/none	1684290	24999	1			25000		other	0
18	12	Sound	test21	1730791	71500	1			71500		other	0
18	12	Picture	3-221-1-3	1789609	130318	7	5166	7	130000	5000	incorrect	48
18	12	Response	51	1802029	142737	2						
18	13	Sound	P1/tapping1	1835105	24999	1			25000		other	0
18	13	Response	53	1844749	34642	1						
18	13	Response	53	1849469	39362	1						
18	13	Response	53	1854509	44402	2						
18	13	Response	53	1859629	49522	1						
18	13	Response	53	1865149	55042	1						
18	13	Response	53	1870349	60242	1						
18	13	Response	53	1875710	65603	2						
18	13	Response	53	1881389	71282	2						
18	13	Sound	test04	1881607	71500	1			71500		other	0
18	13	Picture	2-212-1-2	1940424	130318	7	5166	7	130000	5000	incorrect	60
18	13	Response	52	1956589	146482	1						
18	14	Sound	P1/tapping	1985921	24999	1			25000		other	0
18	14	Response	53	1992429	31507	3						
18	14	Response	53	1996989	36067	1						
18	14	Response	53	2002269	41347	1						
18	14	Response	53	2007950	47027	1						
18	14	Response	53	2013870	52948	2						
18	14	Response	53	2020029	59107	2						
18	14	Response	53	2025469	64547	1						
18	14	Response	53	2030749	69827	1						
18	14	Sound	test23	2032422	71500	1			71500		other	0
18	14	Picture	3-222-1-3	2091239	130317	7	5166	7	130000	5000	hit	72
18	14	Response	62	2104829	143907	1						
18	15	Sound	P1/tapping	2136736	24999	1			25000		other	0
18	15	Response	53	2143229	31492	1						
18	15	Response	53	2148909	37172	1						
18	15	Response	53	2154429	42692	1						
18	15	Response	53	2160350	48613	3						
18	15	Response	53	2165309	53572	1						
18	15	Response	53	2171229	59492	1						
18	15	Response	53	2176509	64772	2						
18	15	Response	53	2182029	70292	1						
18	15	Sound	test06	2183237	71500	1			71500		other	0
18	15	Picture	2-222-1-2	2242054	130317	7	5166	7	130000	5000	hit	84
18	15	Response	62	2261229	149492	2						
18	16	Sound	P1/tapping	2287551	24999	1			25000		other	0
18	16	Response	53	2296669	34117	1						
18	16	Response	53	2302029	39477	1						
18	16	Response	53	2307389	44837	1						
18	16	Response	53	2312989	50437	1						
18	16	Response	53	2319149	56597	2						
18	16	Response	53	2324349	61797	1						
18	16	Response	53	2329709	67157	1						
18	16	Sound	test07	2334051	71500	1			71500		other	0
18	16	Picture	2-212-1-2	2392869	130318	7	5166	7	130000	5000	hit	95
18	16	Response	61	2408108	145556	1						
18	17	Sound	P2/both1	2438366	24999	1			25000		other	0
18	17	Response	53	2444348	30981	1						
18	17	Response	53	2449948	36581	1						
18	17	Response	53	2456188	42821	2						
18	17	Response	53	2461948	48581	1						
18	17	Response	53	2467628	54261	1						
